Samples:              1000
Code base length:     50
Closeness difference: 8

Sample  Min_diff  Max_diff  Num_close
   349         3        13        653
   350         2        15        625
   351         2        14        779
   352         3        14        625
   353         4        16        261
   354         3        16        604
   355         3        15        605
   356         3        16        490
   357         2        15        659
   358         2        15        620
   359         2        14        788
   360         3        16        449
   361         4        16        237
   362         4        17        226
   363         5        18         51
   364         1        14        874
   365         5        16        107
   366         3        15        618
   367         2        16        621
   368         4        16        399
   369         5        17        155
   370         2        15        639
   371         3        16        478
   372         3        15        494
   373         2        15        763
   374         5        17        110
   375         1        14        880
   376         1        13        873
   377         5        17        106
   378         3        17        245
   379         2        15        773
   380         4        15        296
   381         2        15        630
   382         2        16        607
   383         4        17        236
   384         5        16        122
   385         4        16        223
   386         4        14        465
   387         5        17        246
   388         7        19          2
   389         7        18          2
   390         7        17          4
   391         4        15        395
   392         1        14        783
   393         2        15        634
   394         6        20         16
   395         1        14        884
   396         2        15        632
   397         6        17         17
   398         3        14        642
   399         1        14        794
   400         4        17        291
   401         2        15        763
   402         2        15        637
   403         5        17         52
   404         4        15        407
   405         3        16        608
   406         3        16        483
   407         4        17        294
   408         7        18          5
   409         1        13        873
   410         4        16        254
   411         3        16        438
   412         3        16        441
   413         2        14        627
   414         2        14        784
   415         2        15        772
   416         3        15        596
   417         3        15        622
   418         4        16        464
   419         3        15        474
   420         4        18        173
   421         4        16        295
   422         3        15        474
   423         5        17        234
   424         4        17        235
   425         5        18        121
   426         5        16         98
   427         4        16        202
   428         1        14        874
   429         5        16        109
   430         4        15        262
   431         5        16        248
   432         2        15        646
   433         7        17          4
   434         2        15        631
   435         3        16        475
   436         7        18         19
   437         4        15        412
   438         2        15        651
   439         1        14        808
   440         3        15        608
   441         2        14        763
   442         7        20          8
   443         5        17        111
   444         2        14        763
   445         3        16        470
   446         6        18         22
   447         2        15        602
   448         1        14        869
   449         6        17         44
   450         4        15        406
   451         5        18        124
   452         2        15        616
   453         4        17        236
   454         5        17         93
   455         4        16        477
   456         1        14        876
   457         4        15        318
   458         7        18          5
   459         6        19         35
   460         4        14        447
   461         2        12        788
   462         3        15        621
   463         2        15        587
   464         2        14        622
   465         4        16        422
   466         1        14        883
   467         3        14        604
   468         4        16        411
   469         3        15        627
   470         4        16        413
   471         5        15        248
   472         3        16        432
   473         3        15        444
   474         1        13        872
   475         2        15        786
   476         2        15        628
   477         6        17         25
   478         3        14        675
   479         2        17        269
   480         4        16        130
   481         3        14        661
   482         3        15        479
   483         4        16        387
   484         3        15        446
   485         2        14        780
   486         3        15        611
   487         3        15        443
   488         4        15        306
   489         3        14        621
   490         1        15        766
   491         2        15        666
   492         1        14        796
   493         4        16        280
   494         3        16        480
   495         4        17        263
   496         3        16        465
   497         2        14        760
   498         2        14        776
   499         3        14        615
   500         4        15        225
   501         2        14        768
   502         3        13        488
   503         5        18         45
   504         3        14        643
   505         5        15        229
   506         0        13        938
   507         2        14        616
   508         4        17        243
   509         7        17          1
   510         4        15        297
   511         5        15        268
   512         5        17        245
   513         1        15        759
   514         4        17        296
   515         2        15        644
   516         5        16        274
   517         2        15        689
   518         4        15        276
   519         4        15        263
   520         5        15        281
   521         5        17         41
   522         5        18        134
   523         4        17        424
   524         6        18         90
   525         6        19         30
   526         7        20          1
   527         2        14        797
   528         2        13        800
   529         3        14        456
   530         2        14        626
   531         3        14        457
   532         7        18          4
   533         6        17         23
   534         3        15        497
   535         2        15        638
   536         7        18         19
   537         4        16        397
   538         8        18          0
   539         5        17        151
   540         2        14        756
   541         4        16        400
   542         4        16        262
   543         2        14        664
   544         3        14        590
   545         5        19         43
   546         3        17        274
   547         4        16        227
   548         2        15        761
   549         2        14        792
   550         2        14        777
   551         3        16        602
   552         5        17        118
   553         7        18         11
   554         3        16        489
   555         2        16        606
   556         2        14        770
   557         3        16        395
   558         2        15        770
   559         4        16        261
   560         5        15        120
   561         5        17         47
   562         1        14        873
   563         3        15        607
   564         1        15        780
   565         2        15        674
   566         4        17        284
   567         1        14        886
   568         3        15        620
   569         6        17          3
   570         3        14        613
   571         3        15        453
   572         2        15        631
   573         1        13        877
   574         4        16        104
   575         1        15        789
   576         3        16        467
   577         3        16        496
   578         2        13        783
   579         6        18         35
   580         3        16        628
   581         3        16        432
   582         6        18         87
   583         3        16        427
   584         1        14        779
   585         5        17        108
   586         2        14        767
   587         4        17        259
   588         1        15        673
   589         5        17        103
   590         4        17        250
   591         4        17        165
   592         6        19         29
   593         3        16        470
   594         5        18         45
   595         3        16        467
   596         3        15        469
   597         6        18         35
   598         6        16         90
   599         3        16        601
   600         5        20         16
   601         6        17         45
   602         3        16        421
   603         5        16        154
   604         3        17        408
   605         2        14        782
   606         2        14        781
   607         5        16         27
   608         4        16        436
   609         4        16        135
   610         4        16        233
   611         3        15        435
   612         8        19          0
   613         2        15        613
   614         5        18         98
   615         2        15        657
   616         4        17        242
   617         5        18         95
   618         4        16        233
   619         4        17        412
   620         2        15        657
   621         2        16        612
   622         1        14        773
   623         3        16        518
   624         1        13        802
   625         7        18          5
   626         2        14        633
   627         4        15        312
   628         3        15        468
   629         3        14        590
   630         6        17         40
   631         4        16        260
   632         3        16        589
   633         6        18         14
   634         5        18        114
   635         1        14        790
   636         3        15        645
   637         6        17         89
   638         4        16        293
   639         1        14        870
   640         2        14        651
   641         7        20         10
   642         5        17        218
   643         3        15        495
   644         5        17        124
   645         2        15        605
   646         1        14        805
   647         6        17         20
   648         3        16        603
   649         5        17        102
   650         8        19          0
   651         3        16        435
   652         6        19         13
   653         2        14        763
   654         3        17        424
   655         3        15        483
   656         2        15        651
   657         3        15        492
   658         3        16        414
   659         4        16        303
   660         2        15        619
   661         5        16        238
   662         5        18        205
   663         3        14        466
   664         4        16        254
   665         4        15        483
   666         3        16        433
   667         5        16        150
   668         5        16        134
   669         4        17        253
   670         2        16        615
   671         2        14        643
   672         4        16        437
   673         6        17         37
   674         2        16        447
   675         1        13        876
   676         5        19          6
   677         6        18          9
   678         3        15        507
   679         2        13        791
   680         4        16        283
   681         2        14        619
   682         9        19          0
   683         5        17        131
   684         3        15        463
   685         3        16        613
   686         3        15        586
   687         4        16        252
   688         5        16        109
   689         4        16        299
   690         2        14        761
   691         4        15        119
   692         3        14        420
   693         6        17         27
   694         2        16        473
   695         0        13        938
   696         4        17        238
   697         2        15        654
   698         4        16        430
   699         5        17         96
   700         5        16         87
   701         4        16        275
   702         1        14        878
   703         3        16        469
   704         4        16        247
   705         6        17         96
   706         2        15        651
   707         6        17         20
   708         4        18        160
   709         5        17         87
   710         2        14        655
   711         6        18         23
   712         3        16        402
   713         1        14        870
   714         0        13        899
   715         1        13        808
   716         7        20          2
   717         3        17        429
   718         5        17        164
   719         2        14        786
   720         3        16        433
   721         2        15        619
   722         6        18         37
   723         5        16         97
   724         2        14        640
   725         3        14        626
   726         6        18         28
   727         5        16        277
   728         7        17          1
   729         4        17        256
   730         5        17        118
   731         3        16        420
   732         3        14        633
   733         6        19          5
   734         5        16        153
   735         4        15        250
   736         5        16        118
   737         3        16        453
   738         4        16        248
