Samples:              1000
Code base length:     100
Closeness difference: 17

Sample  Min_diff  Max_diff  Num_close
   349        13        28        178
   350         9        25        632
   351        11        25        446
   352        10        26        359
   353        12        26        275
   354        10        28        350
   355        11        26        243
   356         5        20        972
   357        11        25        438
   358        10        28        152
   359         7        22        903
   360        11        27        213
   361        10        24        527
   362        10        26        356
   363        15        30         12
   364        12        29        238
   365         9        26        645
   366        13        29         86
   367        10        28        380
   368         9        25        390
   369         9        25        658
   370         6        22        846
   371         6        21        904
   372         7        24        828
   373        11        26        381
   374        15        30          2
   375        10        27        523
   376         7        24        653
   377         8        24        690
   378         9        27        599
   379        12        28        170
   380         7        25        840
   381         9        25        543
   382         8        24        743
   383        10        25        518
   384         6        22        909
   385         9        25        568
   386         9        26        520
   387         9        28        420
   388        12        27        332
   389         6        21        943
   390        12        30        163
   391         5        20        945
   392         7        24        767
   393        14        30         52
   394        11        28        240
   395        11        27        386
   396        10        26        509
   397        15        30          8
   398         7        22        858
   399         8        24        754
   400        10        25        505
   401         9        23        644
   402         9        24        522
   403        10        26        368
   404        14        27        109
   405        12        29        302
   406        12        29        252
   407        13        28        110
   408         9        26        475
   409        10        26        428
   410         7        25        781
   411        13        28         95
   412         8        23        746
   413         5        23        895
   414        11        26        276
   415        10        25        489
   416        13        28         90
   417         9        26        511
   418        14        28        102
   419        11        25        378
   420         6        22        934
   421         5        21        930
   422        11        26        387
   423         6        23        834
   424        12        27        276
   425        10        26        454
   426        10        27        451
   427         9        24        659
   428        10        28        358
   429         8        24        686
   430        12        29        118
   431         8        25        639
   432        12        26        276
   433         8        24        689
   434         6        23        906
   435        10        24        568
   436        11        28        524
   437         7        25        669
   438         7        26        513
   439        10        25        416
   440         6        22        941
   441        10        26        461
   442         9        24        662
   443         8        25        693
   444        12        28        327
   445         8        26        740
   446        12        30        102
   447        13        27        208
   448         7        25        599
   449         6        23        771
   450         9        24        632
   451        10        24        577
   452         9        23        713
   453         8        24        740
   454        11        26        409
   455         8        24        669
   456        11        26        371
   457         8        25        648
   458        12        27        248
   459        10        26        562
   460         8        25        664
   461         6        24        895
   462         8        25        650
   463        12        26        252
   464        14        29          9
   465         7        23        767
   466         7        23        830
   467        11        26        459
   468         8        26        770
   469         9        24        620
   470        12        26        261
   471        14        29         47
   472         9        24        667
   473        10        26        543
   474        12        27        166
   475         9        26        612
   476        13        29        100
   477        10        28        413
   478         8        25        504
   479        10        27        220
   480        16        31          2
   481         9        25        588
   482         7        24        819
   483        14        29         23
   484        13        27        100
   485         9        24        730
   486        12        26        262
   487         7        22        760
   488        10        27        454
   489         7        22        748
   490         6        22        888
   491         9        25        554
   492        11        26        298
   493        10        28        506
   494         5        22        938
   495        12        27        247
   496        10        27        410
   497         7        22        848
   498        12        27        239
   499         4        22        967
   500        11        28        261
   501        10        26        391
   502         8        24        756
   503        12        28        184
   504         9        24        650
   505         7        24        842
   506        10        27        444
   507        11        26        294
   508         8        25        699
   509        12        28        119
   510        11        27        379
   511        12        27        292
   512         5        23        830
   513        13        30         36
   514         9        26        679
   515         9        27        501
   516        10        26        488
   517        11        26        408
   518         7        24        766
   519         8        26        685
   520         8        29        373
   521         6        22        841
   522         5        21        933
   523         7        24        751
   524        10        27        437
   525        11        26        283
   526        11        26        289
   527         5        21        963
   528        11        27        382
   529         9        25        557
   530         8        25        736
   531         5        21        942
   532         8        25        686
   533        12        27        335
   534        10        25        517
   535        12        27        179
   536         5        23        946
   537         6        23        928
   538        10        28        292
   539         9        25        547
   540         7        23        880
   541         8        25        756
   542         5        22        943
   543        11        26        382
   544         8        26        515
   545        11        28        127
   546        12        27        298
   547         9        24        552
   548        14        30         68
   549        10        25        508
   550         9        24        680
   551         7        23        841
   552        14        29         59
   553        11        26        379
   554         9        25        595
   555        13        29        141
   556         9        26        558
   557         7        22        834
   558        11        26        217
   559         8        23        751
   560        12        28        206
   561         8        24        623
   562         6        24        847
   563         6        22        923
   564         8        24        693
   565         9        27        571
   566         5        24        892
   567         6        22        897
   568        11        27        399
   569        10        25        455
   570         7        25        757
   571         8        24        627
   572         8        26        642
   573         6        23        889
   574         7        24        835
   575        14        28         47
   576         6        23        848
   577         9        24        576
   578        11        27        216
   579        15        29         15
   580        10        25        577
   581         5        22        966
   582        10        26        481
   583         4        23        898
   584         7        23        828
   585         8        24        840
   586         7        21        890
   587         9        25        579
   588        10        26        484
   589         9        24        635
   590         8        23        735
   591         5        22        905
   592        10        24        545
   593         8        24        830
   594        12        27        314
   595         5        22        832
   596         9        23        715
   597         7        23        825
   598        12        28        115
   599        15        29         43
   600         7        22        900
   601         7        23        829
   602        10        27        305
   603         8        25        737
   604         7        26        753
   605        10        25        520
   606         7        24        830
   607        10        29        338
   608        11        27        267
   609         8        24        756
   610         5        22        842
   611        15        29          2
   612         8        24        796
   613         8        26        765
   614        13        27        111
   615        14        30         50
   616         9        25        506
   617         7        23        849
   618         6        23        905
   619         7        23        826
   620         9        25        603
   621         7        23        842
   622        10        24        531
   623        10        27        487
   624         9        25        652
   625         9        27        405
   626        11        25        391
   627        10        26        324
   628         8        24        763
   629        12        28        285
   630         6        21        883
   631         7        23        835
   632         6        21        908
   633         8        25        598
   634        10        26        439
   635        13        27        169
   636        12        27        255
   637         9        24        651
   638        14        30         28
   639         6        21        945
   640         8        25        813
   641        13        29        102
   642        10        25        531
   643         7        23        827
   644        10        25        296
   645        14        28         54
   646        10        25        490
   647         9        26        499
   648        10        26        541
   649         9        25        531
   650        10        27        377
   651         8        24        739
   652        13        28         40
   653        12        26        283
   654        12        28        256
   655         7        23        844
   656        10        24        563
   657         8        25        624
   658         9        26        547
   659        15        32          5
   660         9        25        675
   661        13        29        126
   662        12        27        266
   663        10        28        145
   664         4        22        908
   665         8        26        749
   666         7        23        819
   667        12        28        340
   668        10        26        504
   669        12        26        203
   670         9        24        426
   671        10        29        266
   672         9        27        389
   673         9        26        481
   674         5        20        958
   675        11        27        289
   676         8        26        781
   677        11        26        358
   678         6        21        943
   679         6        22        872
   680         8        22        775
   681         4        20        967
   682         9        26        428
   683        13        29        169
   684        11        29        108
   685         6        24        892
   686        10        26        307
   687         8        23        619
   688        10        25        535
   689        13        29         79
   690        12        26        218
   691         6        23        881
   692         8        23        758
   693         7        24        766
   694         5        22        940
   695         9        24        731
   696        18        33          0
   697         9        25        575
   698         6        24        803
   699         7        23        795
   700        11        28        399
   701         8        25        628
   702         8        23        696
   703        10        25        458
   704        12        27        253
   705        10        25        486
   706        15        33         17
   707         7        24        849
   708         8        24        720
   709        13        29         51
   710         9        24        680
   711        11        26        366
   712         7        23        886
   713        12        26        268
   714        12        26        275
   715         8        25        623
   716        11        26        284
   717         9        24        723
   718        10        25        583
   719         8        22        833
   720        14        30         23
   721         8        23        648
   722        13        29         36
   723         9        25        516
   724         6        23        918
   725         6        22        942
   726         7        23        846
   727         7        22        853
   728        11        25        429
   729         8        25        551
   730        11        26        297
   731        14        30         40
   732        12        28        144
   733         6        22        844
   734         9        24        663
   735         7        23        848
   736        10        25        524
   737        14        29         30
   738         9        26        750
   739         5        20        920
   740         7        24        743
   741         5        22        870
   742        11        26        337
   743         5        23        903
   744         9        25        632
   745         9        24        635
   746         9        24        599
   747         5        24        826
   748        12        27        239
   749        10        26        399
   750         7        25        826
   751        10        27        404
   752         7        25        714
   753        12        28        160
   754         8        25        818
   755        11        28        198
   756        10        26        408
   757         9        27        368
   758        13        29         76
   759        12        28        164
   760         8        24        718
   761         9        25        486
   762        11        26        173
   763         7        23        760
   764         8        24        673
   765         9        26        613
   766         8        25        726
   767         9        24        684
   768        10        25        383
   769         8        23        768
   770         9        26        549
   771        10        25        524
   772        13        29        100
   773         8        24        610
   774         8        24        724
   775         7        22        815
   776        10        27        288
   777        12        27        209
   778         8        24        574
   779        10        28        434
   780        11        25        472
   781        10        26        297
   782        10        26        330
   783         7        22        863
   784         7        23        753
   785         9        25        517
   786         6        24        915
   787        14        29         75
   788        14        29         37
   789         5        21        968
   790         9        24        668
   791        10        25        450
   792         9        23        668
   793         9        25        637
   794         7        22        827
   795         8        26        679
   796         8        25        543
   797         9        26        610
   798        11        26        349
   799         9        24        659
   800         8        24        644
   801        13        26        155
   802         9        26        643
   803        10        27        525
   804         7        23        898
   805        11        26        408
   806         5        23        904
   807         8        26        630
   808         8        24        824
   809         8        24        762
   810        10        25        253
   811         9        25        647
   812         8        25        739
   813        10        26        353
   814        10        26        504
   815        10        25        532
   816        10        26        526
   817        11        25        259
   818        12        28        259
   819         9        23        664
   820        12        27        143
   821         8        22        779
   822         8        23        736
   823         8        25        661
   824         8        25        598
   825        12        27         76
   826        13        28        147
   827        12        28        115
   828         8        21        842
   829        11        26        348
   830         9        24        663
   831        13        29         36
   832         5        24        841
   833        10        25        524
   834         6        24        904
   835        11        27        325
   836         9        27        661
   837        10        27        420
   838         9        25        430
   839         9        25        620
   840        10        26        551
   841         8        24        730
   842        10        25        531
   843        12        27        179
   844         9        24        555
   845        10        26        348
   846         7        26        749
   847        13        27        168
   848         8        25        766
   849         7        23        824
   850        10        26        517
   851         9        26        677
   852        10        28        303
   853         9        25        573
   854         5        22        965
   855        10        25        622
   856         8        24        727
   857        10        26        475
   858         5        22        868
   859        10        26        516
   860         4        21        965
   861         8        23        669
   862         8        24        799
   863         9        25        608
   864         8        24        836
   865        12        27        238
   866        11        28        301
   867         8        23        758
   868        10        24        609
   869        10        27        503
   870        11        28        366
   871         7        24        734
   872         9        25        589
   873        13        27         83
   874         9        24        518
   875         8        24        593
   876        13        29        161
   877         9        25        659
   878         5        21        944
   879        10        25        631
   880         8        24        674
   881         9        28        342
   882         8        24        773
   883         9        25        725
   884         5        23        938
   885        12        29         35
   886        10        26        365
   887         9        25        581
   888        11        28        312
   889        10        25        530
   890         9        28        368
   891         9        25        755
   892         9        24        555
   893        11        27        231
   894         6        24        881
   895        12        29         69
   896        10        25        513
   897         9        26        516
   898         9        27        459
   899        10        26        398
   900        14        29         34
   901         7        21        916
   902        14        28         86
   903         8        23        777
   904         6        22        857
   905        11        26        354
   906         7        24        759
   907         6        21        898
   908        12        28        223
   909         8        24        758
   910         9        26        570
   911         9        25        548
   912        11        28        357
   913         6        21        892
   914        10        25        514
   915        11        29        155
   916         8        25        625
   917        10        26        493
   918        11        27        337
   919         5        23        940
   920        12        28         99
   921         5        22        917
   922         9        25        621
   923        13        29         46
   924         8        24        679
   925         8        24        816
   926        11        27        259
   927         7        24        759
   928         6        24        817
